#strcture_id,color(hex)
10522,f2f1f0
10523,f2f1f0
11761,f2f1f0
11756,f2f1f0
11759,f2f1f0
11760,f2f1f0
11757,f2f1f0
11758,f2f1f0
10525,f2f1f0
11766,f2f1f0
11769,f2f1f0
11767,f2f1f0
11768,f2f1f0
10526,f2f1f0
15504,f2f1f0
11770,f2f1f0
11771,f2f1f0
13112,f2f1f0
13116,f2f1f0
15505,f2f1f0
13113,f2f1f0
11772,f2f1f0
11773,f2f1f0
13114,f2f1f0
13115,f2f1f0
11774,f2f1f0
11775,f2f1f0
11776,f2f1f0
11777,f2f1f0
10524,f2f1f0
13111,f2f1f0
11762,f2f1f0
13110,f2f1f0
11763,f2f1f0
11764,f2f1f0
11765,f2f1f0
11783,f2f1f0
11784,f2f1f0
11785,f2f1f0
11778,f2f1f0
11779,f2f1f0
11780,f2f1f0
11781,f2f1f0
11782,f2f1f0
10528,f2f1f0
11790,f2f1f0
13125,f2f1f0
13126,f2f1f0
13285,f2f1f0
11789,f2f1f0
13124,f2f1f0
13123,f2f1f0
11788,f2f1f0
13121,f2f1f0
13122,f2f1f0
11791,f2f1f0
13286,f2f1f0
10527,f2f1f0
11786,f2f1f0
13117,f2f1f0
13118,f2f1f0
11787,f2f1f0
13119,f2f1f0
13120,f2f1f0
13287,f2f1f0
10529,f2f1f0
10530,f2f1f0
11807,f2f1f0
11792,f2f1f0
11801,f2f1f0
11804,f2f1f0
11795,f2f1f0
11798,f2f1f0
10532,f2f1f0
11822,f2f1f0
11831,f2f1f0
11825,f2f1f0
11828,f2f1f0
10533,f2f1f0
15506,f2f1f0
11834,f2f1f0
11837,f2f1f0
13129,f2f1f0
13133,f2f1f0
15507,f2f1f0
13130,f2f1f0
11840,f2f1f0
11843,f2f1f0
13131,f2f1f0
13132,f2f1f0
11846,f2f1f0
11849,f2f1f0
11852,f2f1f0
11855,f2f1f0
10531,f2f1f0
13128,f2f1f0
11810,f2f1f0
13127,f2f1f0
11813,f2f1f0
11816,f2f1f0
11819,f2f1f0
11871,f2f1f0
11872,f2f1f0
11873,f2f1f0
11858,f2f1f0
11859,f2f1f0
11862,f2f1f0
11865,f2f1f0
11868,f2f1f0
10535,f2f1f0
11878,f2f1f0
13142,f2f1f0
13143,f2f1f0
11877,f2f1f0
13141,f2f1f0
13140,f2f1f0
11876,f2f1f0
13138,f2f1f0
13139,f2f1f0
11879,f2f1f0
10534,f2f1f0
11874,f2f1f0
13134,f2f1f0
13135,f2f1f0
11875,f2f1f0
13136,f2f1f0
13137,f2f1f0
10536,f2f1f0
10537,f2f1f0
11905,f2f1f0
11906,f2f1f0
11907,f2f1f0
11880,f2f1f0
11881,f2f1f0
11882,f2f1f0
11883,f2f1f0
11884,f2f1f0
11895,f2f1f0
11896,f2f1f0
11897,f2f1f0
11898,f2f1f0
11899,f2f1f0
11900,f2f1f0
11901,f2f1f0
11902,f2f1f0
11903,f2f1f0
11904,f2f1f0
11885,f2f1f0
11886,f2f1f0
11887,f2f1f0
11888,f2f1f0
11889,f2f1f0
11890,f2f1f0
11891,f2f1f0
11892,f2f1f0
11893,f2f1f0
11894,f2f1f0
10539,f2f1f0
11928,f2f1f0
11929,f2f1f0
11930,f2f1f0
11931,f2f1f0
11932,f2f1f0
11943,f2f1f0
11944,f2f1f0
11946,f2f1f0
11933,f2f1f0
11934,f2f1f0
11935,f2f1f0
11936,f2f1f0
11937,f2f1f0
11938,f2f1f0
11939,f2f1f0
11940,f2f1f0
11941,f2f1f0
11942,f2f1f0
10540,f2f1f0
15508,f2f1f0
11948,f2f1f0
11949,f2f1f0
11950,f2f1f0
11951,f2f1f0
11952,f2f1f0
11953,f2f1f0
11954,f2f1f0
11955,f2f1f0
11956,f2f1f0
11957,f2f1f0
13154,f2f1f0
13155,f2f1f0
13156,f2f1f0
13157,f2f1f0
13158,f2f1f0
13174,f2f1f0
13175,f2f1f0
13176,f2f1f0
13177,f2f1f0
13178,f2f1f0
15509,f2f1f0
13159,f2f1f0
13160,f2f1f0
13161,f2f1f0
13162,f2f1f0
13163,f2f1f0
11958,f2f1f0
11959,f2f1f0
11960,f2f1f0
11961,f2f1f0
11962,f2f1f0
11963,f2f1f0
13164,f2f1f0
13165,f2f1f0
13166,f2f1f0
13167,f2f1f0
13168,f2f1f0
13169,f2f1f0
13170,f2f1f0
13171,f2f1f0
13172,f2f1f0
13173,f2f1f0
11968,f2f1f0
11969,f2f1f0
11970,f2f1f0
11971,f2f1f0
11972,f2f1f0
11973,f2f1f0
11974,f2f1f0
11975,f2f1f0
11976,f2f1f0
11977,f2f1f0
11978,f2f1f0
11979,f2f1f0
11980,f2f1f0
11981,f2f1f0
11982,f2f1f0
11983,f2f1f0
10538,f2f1f0
13149,f2f1f0
13150,f2f1f0
13151,f2f1f0
13152,f2f1f0
13153,f2f1f0
11908,f2f1f0
11909,f2f1f0
11910,f2f1f0
11911,f2f1f0
11912,f2f1f0
13144,f2f1f0
11913,f2f1f0
11914,f2f1f0
11916,f2f1f0
11918,f2f1f0
11919,f2f1f0
11921,f2f1f0
11923,f2f1f0
11924,f2f1f0
11926,f2f1f0
13145,f2f1f0
13146,f2f1f0
13147,f2f1f0
13148,f2f1f0
11984,f2f1f0
11985,f2f1f0
11986,f2f1f0
11987,f2f1f0
13288,f2f1f0
10541,f2f1f0
15510,f2f1f0
10542,f2f1f0
10543,f2f1f0
11993,f2f1f0
11988,f2f1f0
11991,f2f1f0
13289,f2f1f0
13290,f2f1f0
11992,f2f1f0
11989,f2f1f0
11990,f2f1f0
13291,f2f1f0
13292,f2f1f0
10545,f2f1f0
11998,f2f1f0
13293,f2f1f0
13294,f2f1f0
12001,f2f1f0
11999,f2f1f0
12000,f2f1f0
13295,f2f1f0
13296,f2f1f0
10546,f2f1f0
15511,f2f1f0
12002,f2f1f0
12003,f2f1f0
13181,f2f1f0
13185,f2f1f0
15512,f2f1f0
13182,f2f1f0
12004,f2f1f0
13297,f2f1f0
13298,f2f1f0
12005,f2f1f0
13183,f2f1f0
13184,f2f1f0
13299,f2f1f0
13300,f2f1f0
12006,f2f1f0
13301,f2f1f0
13302,f2f1f0
12007,f2f1f0
12008,f2f1f0
12009,f2f1f0
10544,f2f1f0
13180,f2f1f0
11994,f2f1f0
13303,f2f1f0
13304,f2f1f0
13179,f2f1f0
11995,f2f1f0
11996,f2f1f0
11997,f2f1f0
12010,f2f1f0
12011,f2f1f0
12012,f2f1f0
12013,f2f1f0
12014,f2f1f0
10548,f2f1f0
12019,f2f1f0
13196,f2f1f0
13197,f2f1f0
13192,f2f1f0
13193,f2f1f0
12018,f2f1f0
13194,f2f1f0
13195,f2f1f0
12017,f2f1f0
13190,f2f1f0
13191,f2f1f0
12020,f2f1f0
10547,f2f1f0
12015,f2f1f0
13186,f2f1f0
13187,f2f1f0
12016,f2f1f0
13188,f2f1f0
13189,f2f1f0
10549,f2f1f0
13305,f2f1f0
10551,f2f1f0
13306,f2f1f0
13307,f2f1f0
13308,f2f1f0
10550,f2f1f0
13309,f2f1f0
13310,f2f1f0
10552,f2f1f0
13311,f2f1f0
13312,f2f1f0
13313,f2f1f0
13314,f2f1f0
10553,f2f1f0
10554,f2f1f0
10555,f2f1f0
10556,f2f1f0
13198,f2f1f0
13315,f2f1f0
13316,f2f1f0
13317,f2f1f0
13199,f2f1f0
13318,f2f1f0
13319,f2f1f0
13320,f2f1f0
13077,f2f1f0
13075,f2f1f0
13074,f2f1f0
13079,f2f1f0
13078,f2f1f0
10507,f2f1f0
13076,f2f1f0
146034626,f2f1f0
13321,f2f1f0
10158,f2f1f0
10159,f2f1f0
10160,f2f1f0
10161,f2f1f0
10172,f2f1f0
10190,f2f1f0
10191,f2f1f0
10895,f2f1f0
10896,f2f1f0
10897,f2f1f0
10898,f2f1f0
10899,f2f1f0
10900,f2f1f0
10192,f2f1f0
10901,f2f1f0
10902,f2f1f0
10903,f2f1f0
10904,f2f1f0
10905,f2f1f0
10906,f2f1f0
10193,f2f1f0
10907,f2f1f0
10908,f2f1f0
10909,f2f1f0
10910,f2f1f0
10911,f2f1f0
10912,f2f1f0
10173,f2f1f0
10174,f2f1f0
10175,f2f1f0
10821,f2f1f0
10822,f2f1f0
10823,f2f1f0
10824,f2f1f0
10825,f2f1f0
10826,f2f1f0
10176,f2f1f0
10827,f2f1f0
10828,f2f1f0
10829,f2f1f0
10830,f2f1f0
10831,f2f1f0
10832,f2f1f0
10177,f2f1f0
10833,f2f1f0
10834,f2f1f0
10835,f2f1f0
10836,f2f1f0
10837,f2f1f0
10838,f2f1f0
10178,f2f1f0
10179,f2f1f0
10839,f2f1f0
10840,f2f1f0
10841,f2f1f0
10842,f2f1f0
10843,f2f1f0
10844,f2f1f0
10180,f2f1f0
10845,f2f1f0
10846,f2f1f0
10847,f2f1f0
10848,f2f1f0
10849,f2f1f0
10850,f2f1f0
10181,f2f1f0
10182,f2f1f0
10851,f2f1f0
10852,f2f1f0
10853,f2f1f0
10854,f2f1f0
10855,f2f1f0
10856,f2f1f0
10183,f2f1f0
10857,f2f1f0
10858,f2f1f0
10859,f2f1f0
10860,f2f1f0
10861,f2f1f0
10862,f2f1f0
10184,f2f1f0
10863,f2f1f0
